,year,scenario,Fossil_Gen_GWh_loc0,Discounted_Fossil_Gen_GWh_loc0,Annual_Emissions_loc0,Fossil_Gen_GWh_loc1,Discounted_Fossil_Gen_GWh_loc1,Annual_Emissions_loc1,Total_Annual_Demand_loc0,Discounted_Annual_Demand_loc0,Total_Annual_Demand_loc1,Discounted_Annual_Demand_loc1,RE_PV_MY_new_annual_installed_GWp_loc0,RE_PV_MY_total_capacity_GWp_loc0,RE_PV_MY_annual_generation_GWh_loc0,RE_PV_MY_discounted_annual_gen_GWh_loc0,RE_PV_MY_annual_CAPEX_BUSD_loc0,RE_WIND_MY_new_annual_installed_GWp_loc0,RE_WIND_MY_total_capacity_GWp_loc0,RE_WIND_MY_annual_generation_GWh_loc0,RE_WIND_MY_discounted_annual_gen_GWh_loc0,RE_WIND_MY_annual_CAPEX_BUSD_loc0,PP_CO2_MY_annual_OPEX_BUSD_loc0,RE_PV_MY_new_annual_installed_GWp_loc1,RE_PV_MY_total_capacity_GWp_loc1,RE_PV_MY_annual_generation_GWh_loc1,RE_PV_MY_discounted_annual_gen_GWh_loc1,RE_PV_MY_annual_CAPEX_BUSD_loc1,RE_WIND_MY_new_annual_installed_GWp_loc1,RE_WIND_MY_total_capacity_GWp_loc1,RE_WIND_MY_annual_generation_GWh_loc1,RE_WIND_MY_discounted_annual_gen_GWh_loc1,RE_WIND_MY_annual_CAPEX_BUSD_loc1,PP_CO2_MY_annual_OPEX_BUSD_loc1,System_LCOE_USD_per_kWh,System_LCUE_USD_per_kWh
20,21,MEX-CHL,436385.18824633816,164468.98793159932,177.15842210198943,21464.832287242312,8089.869540694437,7.7596012663349745,592841.7972196584,223435.8383796172,127432.48426498333,48027.96309585133,59.99999999999616,60.00000000000002,105029.27417102504,39584.428828844204,0.5751778152483438,1.8120512227709988e-13,63.247316376157166,51427.33480232595,19382.421619185283,2.2431602995955995,15.211736693793624,0.0,0.0,0.0,0.0,0.0,14.677021458930009,28.95312616879954,116089.8445550194,43753.04148114826,0.8863027062621244,0.5112797549718895,0.07057448972037408,0.07156629047511222
21,22,MEX-CHL,435838.1056725059,156440.76025072273,176.936324083656,21498.841271402434,7716.844922997697,7.771895616135843,592294.7146458251,212599.6654393108,127470.38989519166,45754.523170684304,1.633690252548644e-12,60.0,105029.27417102501,37699.45602747066,0.5477883954745921,4.165254419918249e-13,63.247316376157585,51427.334802326295,18459.449161128963,2.1363431424720125,14.469205915589349,3.5895482566082845e-16,3.5895482566082845e-16,6.557445724273185e-13,2.353745074275322e-13,2.9255937853871774e-18,0.8991442797289011,29.448292297542203,118075.25223015301,42382.21024106805,0.8521772116823075,0.4877045991334573,0.07039706634990442,0.07158087648529905
22,23,MEX-CHL,429360.63150077494,146776.87652821036,174.30667684910657,21677.484389376725,7410.445243990686,7.83647563921285,610227.1120079583,208606.05957348197,133687.71965480832,45701.12972986064,1.3241774846115534e-12,59.99999999999994,105029.2741710249,35904.2438356863,0.5217032337853107,30.020199832210043,93.26751620836762,75837.2063361926,25924.939209596963,2.8951997487342207,13.575393310094167,4.398100446019268e-15,4.757055271680097e-15,8.6902667192124e-12,2.9707665576711174e-12,3.561724046126376e-17,2.205093790712017,31.220857130431252,125182.49083071327,42793.61835278152,0.849425883348407,0.4683401394202109,0.0707470870578602,0.07199978248960047
23,24,MEX-CHL,388901.7405103155,126615.24748458489,157.88166179149175,20165.485730575037,6565.3035213297,7.28988358806002,620596.6214081334,202048.45240491748,132668.32425344168,43192.99956506396,2.2635584198455164e-13,59.99999999999991,105029.27417102485,34194.517938748846,0.49686022265267427,66.8388615607118,160.10637776907942,130184.88001211229,42384.46138054085,4.533614898161467,11.710644239849252,6.498244523284032e-15,1.1255299794964128e-14,2.056136656751306e-11,6.694190962351535e-12,7.8278863618451e-17,0.4862653757963063,31.605343425274043,126724.11897620642,41257.73689103035,0.8164310662697472,0.4149271825480341,0.07159857092221104,0.0732848279322742
24,25,MEX-CHL,395416.2400021577,122605.88722929184,160.52634012119591,20023.329390287712,6208.591900947679,7.238493644577207,638102.0321649875,197854.96366051,134118.43330885,41585.82234645809,1.2720348360032657e-13,59.999999999999865,105029.27417102476,32566.20756071316,0.47320021205016444,17.266074753406706,177.37245252248613,144224.18251444216,44719.29088447659,4.742791645326168,11.339818509837198,9.043026183876651e-15,2.029832597884078e-14,3.708131535905915e-11,1.1497725963915404e-11,1.309011246921852e-16,0.5567609308651804,32.1621043561368,128956.49587192888,39985.27119238217,0.7891330363065616,0.3923830081398948,0.07207797501261713,0.07407813308441027
25,26,MEX-CHL,395424.3450154384,116769.90507983102,160.52963049722752,19194.888826065257,5668.303872767468,6.939009895289081,637968.5620221667,188393.88462118132,133877.9137434833,39534.518997564504,7.898817816510979e-14,59.999999999999794,105029.27417102465,31015.43577210773,0.450666868619203,7.620627177756918e-13,177.3724525224869,144224.1825144428,42589.80084235884,4.516944424120177,10.800048520833569,1.1124170497980176e-14,3.142249647682095e-14,5.740313277264974e-11,1.6951304211898098e-11,1.8782711103422582e-16,1.3012683183051619,32.59028972640154,130673.3389093599,38588.199166934966,0.750080630491844,0.3582368047589046,0.07192541001004299,0.07404069427455835
26,27,MEX-CHL,404079.1854092654,113643.5270825999,164.0432187422286,21017.71320109475,5911.037107649447,7.597966375335378,665572.8589337501,187186.20000946656,138849.59830930832,39050.16307605678,5.0314416144377123e-14,59.999999999999794,105029.27417102465,29538.510259150222,0.4292065415420978,19.161024450866993,196.53347697335388,159804.29683470452,44943.47789000012,4.705667956535844,10.510889819869657,1.2660348097255779e-14,4.408284457407673e-14,8.053126466092364e-11,2.2648672059711215e-11,2.4424372817624837e-16,0.9478036242154746,33.53809335061035,134473.63234785074,37819.463192939176,0.7312377365710222,0.3735775452034461,0.07224561140353818,0.07404017360988915
27,28,MEX-CHL,311132.7115647956,83336.37377861625,126.309924648537,18302.603520294986,4902.3215862388415,6.616446080397238,663751.8832984334,177784.82617472723,138547.0738168792,37109.60082425291,3.6818990041121255e-14,59.999999999999794,105029.27417102465,28131.914532524017,0.40876813480199764,132.901508956581,329.4349859299349,267868.49289000104,71748.12553371386,7.069687039489526,7.707781210784221,1.515549961162299e-14,5.923834418569972e-14,1.0821758032599432e-10,2.8985896976590758e-11,3.0359806208012114e-16,3.9612623630100545,36.85736755579653,147782.52425365095,39583.30069895224,0.7445441554256339,0.30982672425029656,0.07132394396102955,0.07557481825635595
28,29,MEX-CHL,240106.31773428747,61249.593891872195,97.47548159795323,18754.017715680064,4784.030590138646,6.779633666271463,680389.9604869292,173563.1496962495,141703.67852729585,36147.70675208214,3.701338489626871e-14,59.9999999999998,105029.27417102466,26792.29955478478,0.38930298552571196,159.99999999999773,489.4349859299326,397966.87555393256,101518.81774752146,9.609425470322705,5.66497493905926,2.0153305619357144e-14,7.939164980505687e-14,1.4503397010995422e-10,3.699724294464945e-11,3.7456720797931553e-16,1.2646533537376998e-12,36.39226911409188,145917.67534284634,37222.67052667028,0.6975539992755505,0.3023507332967612,0.07196007400687846,0.07945992119671474
29,30,MEX-CHL,185774.94900923476,45133.34041222527,75.4186844993811,18579.613227750986,4513.848680932134,6.716585920671689,687950.9843993626,167135.1607491409,142897.5025869375,34716.42254625242,4.7529432913466365e-14,59.99999999999983,105029.2741710247,25516.4757664617,0.3707647481197256,159.999999999999,649.4349859299316,528065.2582178651,128291.51177875874,11.804541332960317,4.174382654726719,3.176125065102973e-14,1.111529004560866e-13,2.0305594457310237e-10,4.93316947092162e-11,4.782369913889061e-16,3.777413740203017e-13,35.79576218703263,143525.9337383448,34869.097582544324,0.6505198240076557,0.28527523663491183,0.07252926229590027,0.08563462081520279
