,year,scenario,Fossil_Gen_GWh_loc0,Discounted_Fossil_Gen_GWh_loc0,Annual_Emissions_loc0,Fossil_Gen_GWh_loc1,Discounted_Fossil_Gen_GWh_loc1,Annual_Emissions_loc1,Total_Annual_Demand_loc0,Discounted_Annual_Demand_loc0,Total_Annual_Demand_loc1,Discounted_Annual_Demand_loc1,RE_PV_MY_new_annual_installed_GWp_loc0,RE_PV_MY_total_capacity_GWp_loc0,RE_PV_MY_annual_generation_GWh_loc0,RE_PV_MY_discounted_annual_gen_GWh_loc0,RE_PV_MY_annual_CAPEX_BUSD_loc0,RE_WIND_MY_new_annual_installed_GWp_loc0,RE_WIND_MY_total_capacity_GWp_loc0,RE_WIND_MY_annual_generation_GWh_loc0,RE_WIND_MY_discounted_annual_gen_GWh_loc0,RE_WIND_MY_annual_CAPEX_BUSD_loc0,PP_CO2_MY_annual_OPEX_BUSD_loc0,RE_PV_MY_new_annual_installed_GWp_loc1,RE_PV_MY_total_capacity_GWp_loc1,RE_PV_MY_annual_generation_GWh_loc1,RE_PV_MY_discounted_annual_gen_GWh_loc1,RE_PV_MY_annual_CAPEX_BUSD_loc1,RE_WIND_MY_new_annual_installed_GWp_loc1,RE_WIND_MY_total_capacity_GWp_loc1,RE_WIND_MY_annual_generation_GWh_loc1,RE_WIND_MY_discounted_annual_gen_GWh_loc1,RE_WIND_MY_annual_CAPEX_BUSD_loc1,PP_CO2_MY_annual_OPEX_BUSD_loc1,EL_Transport_MY_annual_OPEX_BUSD_target_loc1,EL_Transport_MY_annual_CAPEX_BUSD_target_loc1,System_LCOE_USD_per_kWh,System_LCUE_USD_per_kWh,HVDC_MEX-USA_annual_forward_GWh,HVDC_USA-MEX_annual_reverse_GWh,HVDC_MEX-USA_annual_total_GWh
20,21,MEX_2042_low-WECC_2040_low,282842.96244805324,106600.53785131425,114.82519177911131,740598.1690845321,279123.6609629602,278.5026820824075,592898.8277211043,223457.33257581515,1452925.4120857916,547592.307214055,52.854511063023715,277.66111507255624,486042.4230264672,183184.27746878532,3.076160558581317,13.22687716590045,98.30107856890403,76967.17740148924,29008.119689041763,3.7213447361891623,2.6491299661430103,143.7063045148795,1036.7269929553506,1829297.9152977078,689443.1453172107,14.453411389610812,3.841574396912986,51.73840713570037,77512.06433193135,29213.481842480345,1.6542124025633531,10.714161726063228,0.0036355571471457693,0.021527455474575626,0.02756670358632952,0.0470703595707061,1723.4351112630395,139.46874044593918,1862.9038517089787
21,22,MEX_2042_low-WECC_2040_low,273798.24769180885,98277.79046104715,111.15332701894829,735979.6842394636,264174.2881886148,276.7658962379343,592351.6925559416,212620.11722510034,1462672.6639306669,525015.1846869552,65.03992471825715,341.6748666915647,598097.7208516129,214682.61020884238,3.4796097252557536,15.12174785644739,112.38360389163137,87993.42696614243,31584.568748088142,3.9645416897672408,2.4423013707474825,165.19403812649148,1191.7439459539978,2102824.3025559983,754792.7275839123,15.241130838533628,4.019072674679152,54.12895778294077,81093.47562415843,29107.883897488886,1.6161288908994482,10.14033005211997,0.003351341195946918,0.02050233854721488,0.02650249150275094,0.0500354255705986,1703.511006092755,99.62053004141573,1803.1315361341708
22,23,MEX_2042_low-WECC_2040_low,267936.45308236795,91594.04194561412,108.77362598494281,724952.1282823787,247824.79159730312,272.61897279271705,610285.8149053374,208626.1271513834,1469465.6426253335,502336.6404976899,80.03464079560733,420.4467539438945,735986.9565715131,251597.04622540672,3.934897774168009,17.288076041371784,128.4835793008927,100599.28726314455,34389.85338231198,4.220707599530946,2.276203536390457,189.89473234774596,1369.9398610904805,2417249.815047476,826336.5376581396,16.08243476050142,4.204772183335252,56.62996278533795,84840.36447081035,29002.66765728851,1.5775933019208779,9.512754625462486,0.003156485525736068,0.019526036711633218,0.02541104355162644,0.052924394683329115,1693.5489534559085,89.65847757902307,1783.2074310349317
23,24,MEX_2042_low-WECC_2040_low,261910.56677747553,85270.5652277181,106.32730897351838,710405.8875088105,231287.77244196562,267.1488444035759,620656.3219174292,202067.88917768563,1455159.3366177084,473758.12536500714,98.48633366397196,517.3792108669661,905666.049808919,294858.8784521036,4.447730830940836,19.764750480535344,146.8900229066066,115011.05192489707,37444.29835625029,4.4902693999049825,2.119058816474026,218.2888061965675,1574.7805804897698,2778689.9082556413,904661.7018351309,16.97877980959476,4.39905185719522,59.246525638434704,88760.37669047204,28897.83174213128,1.5386430102451143,8.877981145184851,0.0029557938422082094,0.01859622543965068,0.024313386806190853,0.05692887548529841,1663.6627955173844,89.65847781367448,1753.3212733310588
24,25,MEX_2042_low-WECC_2040_low,255185.43882809137,79124.8157519873,103.59712223016243,692011.1922179527,214570.46426322582,260.2315008447532,638163.4166373708,197873.99701558572,1441615.5158625417,446998.7104345428,121.19199664232858,636.6590901853997,1114464.035609295,345559.5346065429,5.02425382652067,22.596231103043248,167.93335729675957,131487.43320885696,40770.033643499795,4.773625570823849,1.9663307962526322,250.92851350643696,1810.2501774885595,3194174.4532060674,990410.9977838316,17.931494703043708,4.602308139068508,61.98398564257051,92861.51137345789,28793.374777256624,1.4993135257829078,8.236287270743919,0.002767058088866873,0.01771069089490541,0.023217458220831353,0.061177629300124284,1643.738690271819,79.69642539748632,1723.4351156693053
25,26,MEX_2042_low-WECC_2040_low,244112.4990146778,72087.09756510152,99.10186299999063,684044.3223170468,202000.1843443411,257.2355514516476,638029.9336772709,188412.00784103727,1437304.0531596253,424439.8706704646,149.1323669359733,783.4385081621003,1371399.631164934,404978.11218829337,5.67103225490388,25.83334712800832,191.99134110620824,150324.2062610068,44391.154762141356,5.071137811425099,1.7914364615903358,288.4486840513959,2080.9284453318473,3671784.4647584977,1084288.1295199674,18.9417391992136,4.814955789232523,64.84792879813978,97152.13720457868,28689.295392873337,1.4596385829410163,7.753777076057524,0.0020402864141798194,0.016867324661814675,0.02216669348235742,0.06642334049147157,1284.5008291320755,49.81026816168559,1334.3110972937611
26,27,MEX_2042_low-WECC_2040_low,236595.51245418485,66540.29580854584,96.0502070000008,679457.9139531647,191091.24308795138,255.51082800000194,665636.8860569292,187204.2070446462,1446717.3698472916,406875.8563611441,183.5142871155389,964.0573825664229,1687570.7858361595,474613.64808913146,6.391687151209883,29.534209523387965,219.4958503367669,171859.51871238986,48333.89735086867,5.383841485061898,1.653592891138177,331.5790707413871,2392.079972392979,4220809.274242879,1187063.502372896,19.982394249794073,5.037428731783296,67.84419920426079,101641.00954009478,28585.59222414157,1.4202308759546864,7.33503736593102,0.0014812243147743715,0.01606411872553779,0.02113201777597719,0.07100781857632504,79.69642497229017,937.4327037624422,1017.1291287347324
27,28,MEX_2042_low-WECC_2040_low,228363.75034485714,61166.8466504599,92.70837500000077,671104.7836596674,179754.28817626,252.36962500000192,663815.7352915708,177801.92882375387,1453266.1616257082,389254.89845137345,173.70038256307254,1134.1948256380822,1985394.3217550004,531784.5316346936,6.929123281913545,33.76525418286472,250.94063116319563,196479.9609237359,52626.82725065502,5.7120881664756915,1.520057306110575,381.1585430361383,2749.7565363959893,4851927.203386769,1299580.5453386696,21.05014841351378,5.270180940091343,70.9789109841152,106337.28827370271,28482.263911154943,1.3810889912641129,6.899868351645745,0.002238305138873216,0.015299160690988368,0.02020525999889917,0.07672936799973129,1593.9284313880498,19.924109167868057,1613.8525405559178
28,29,MEX_2042_low-WECC_2040_low,222779.19688251422,56829.5556125756,90.44122500000039,664104.2597945536,169408.77107320778,249.73707100000155,680455.4130297041,173579.84622344622,1442034.544427875,367853.8368240758,1.2692653276421122e-11,1129.8104635157981,1977719.5488982268,504503.6729774267,6.558121177609727,29.830151525378735,278.1178803773551,217759.0373286248,55548.94485293535,5.898468862991599,1.4122712865281137,1.145540823336367e-11,2722.7634065345173,4804298.004457368,1225545.851876287,19.74570394877414,5.513687363169116,74.2584607612921,111250.55652801084,28379.309098922477,1.3422115220369586,6.502755677645075,0.0007617344517174916,0.01457062922951273,0.02032866259982702,0.07660192953977443,556.7592972608833,19.924110073695967,576.6834073345792
29,30,MEX_2042_low-WECC_2040_low,217925.22317030054,52944.13124164771,88.47066700000038,659102.5206687427,160126.53261672743,247.85616200000175,688017.1643062292,167151.23891404414,1446253.9492610833,351362.0763329123,5.272781520161325e-12,1124.4153027880513,1968275.3853103726,478185.26375050156,6.198958593210383,24.317296074340614,299.40222170849546,234424.12075351764,56952.47771150873,5.937597399075314,1.3157146054861837,4.5460266645913095e-12,2691.7341198338154,4749547.033506991,1153884.9786280382,18.483202528119318,5.768444894841595,77.6895407125962,116390.8402096469,28276.72643735072,1.3035970681381859,6.14645695449309,0.0009545081614130343,0.013876789742393075,0.020410779380826784,0.07598716809743017,114.66878693516257,644.0883737680076,758.7571607031701
