,year,scenario,Fossil_Gen_GWh_loc0,Discounted_Fossil_Gen_GWh_loc0,Annual_Emissions_loc0,Fossil_Gen_GWh_loc1,Discounted_Fossil_Gen_GWh_loc1,Annual_Emissions_loc1,Total_Annual_Demand_loc0,Discounted_Annual_Demand_loc0,Total_Annual_Demand_loc1,Discounted_Annual_Demand_loc1,RE_PV_MY_new_annual_installed_GWp_loc0,RE_PV_MY_total_capacity_GWp_loc0,RE_PV_MY_annual_payments_BUSD_loc0,RE_PV_MY_annual_generation_GWh_loc0,RE_PV_MY_discounted_annual_gen_GWh_loc0,RE_WIND_MY_new_annual_installed_GWp_loc0,RE_WIND_MY_total_capacity_GWp_loc0,RE_WIND_MY_annual_payments_BUSD_loc0,RE_WIND_MY_annual_generation_GWh_loc0,RE_WIND_MY_discounted_annual_gen_GWh_loc0,Annual_NPV_OPEX_PP_BUSD_loc0,RE_PV_MY_new_annual_installed_GWp_loc1,RE_PV_MY_total_capacity_GWp_loc1,RE_PV_MY_annual_payments_BUSD_loc1,RE_PV_MY_annual_generation_GWh_loc1,RE_PV_MY_discounted_annual_gen_GWh_loc1,RE_WIND_MY_new_annual_installed_GWp_loc1,RE_WIND_MY_total_capacity_GWp_loc1,RE_WIND_MY_annual_payments_BUSD_loc1,RE_WIND_MY_annual_generation_GWh_loc1,RE_WIND_MY_discounted_annual_gen_GWh_loc1,Annual_NPV_OPEX_PP_BUSD_loc1,System_LCOE_USD_per_kWh,System_LCUE_USD_per_kWh
20,21,CHL-WECC,83536.84301456185,31484.15756460123,33.913285084935644,46396.104111675515,17486.20368597127,16.77233082468302,592841.7972196584,223435.8383796172,127432.48426498333,48027.96309585133,1.8093779180376093,37.507324030524664,0.5317478581473037,68518.99570930684,25824.088859857988,77.910377079975,135.46069501486585,4.876280648806416,543140.3481582205,204703.88494481312,2.9119697331499674,6.55512872419418,22.492675969475197,0.27721371223802527,38924.08988783463,14670.080109128176,10.598361906856802,27.43964958812426,0.7895928556152727,47884.654977576414,18047.222852050818,1.1051280729533834,0.03360476415456964,0.038649473056386476
21,22,CHL-WECC,86912.01302731219,31196.40347172873,35.2834961046719,41034.518942225,14729.027261026207,14.83410170117117,592294.7146458251,212599.6654393108,127470.38989519166,45754.523170684304,0.4041024800593799,37.91142651058404,0.5099797719566571,69257.2167584751,24859.34915173807,4.015543240656539,133.3038234664613,4.489760250691439,534492.2014496536,191851.89467048715,2.8853553571001904,1.0420755909783448e-12,22.088573489415715,0.25599811227961194,38224.781309385435,13720.493391074102,4.360238868625214,31.799888456749475,0.8658211976783261,55493.66372870489,19919.026881371203,0.9308745228968566,0.03354231418555794,0.03846575612367916
22,23,CHL-WECC,85750.0067493555,29313.62875294411,34.81175874002242,42374.8081724442,14485.82271107037,15.318620278763113,610227.1120079583,208606.05957348197,133687.71965480832,45701.12972986064,0.42245674418775386,38.33388325477178,0.48909721855371,70028.96767887694,23939.393573353274,8.93415617894824,139.8287311833185,4.429383202362006,560654.3339312945,191659.61177856874,2.7112175233598053,9.124527997793472e-13,21.6661167452281,0.23650038868408324,37493.7102573329,12817.220018028396,2.257708829068142,34.05759728581761,0.8792700033323254,59433.5685723347,20317.357754670502,0.9155039953396484,0.03302523540706093,0.037989379529918765
23,24,CHL-WECC,82760.56197193325,26944.464229677847,33.59813982262185,40992.72563164839,13346.055212065003,14.81899329401778,620596.6214081334,202048.45240491748,132668.32425344168,43192.99956506396,0.502792241017482,38.836675495789244,0.46950958915630797,70947.47680463892,23098.462666273233,9.530918694011586,149.35964987732973,4.471749926534634,598869.3046810376,194974.6615266166,2.492093496602908,3.0680325886305237e-13,21.16332450421065,0.21771812301134344,36623.6167917609,11923.598741894566,1.3985183528414378,35.45611563865904,0.868799119942642,61874.10880556725,20144.434398840727,0.8434706894025076,0.03223939292232349,0.0381800909651948
24,25,CHL-WECC,82885.19837381683,25700.040253132287,33.64873821342182,41776.59107331184,12953.580292834615,15.10236300277546,638102.0321649875,197854.96366051,134118.43330885,41585.82234645809,0.8773873090511698,39.71406280484039,0.4530503185451978,72550.30235453286,22495.52064144443,4.831379825299388,154.1910297026291,4.377750305056792,618241.1034165284,191696.72698720268,2.3769967230122147,0.7786549099566259,20.285937195159523,0.19100410674050583,35105.27799871117,10885.020188951863,0.7977975500596126,36.253913188718656,0.844020507301006,63266.33724142506,19616.860979686066,0.8186662745071479,0.031980096034521996,0.03784438059311734
25,26,CHL-WECC,79200.01679909664,23387.984479282542,32.152672419895836,39362.09212174942,11623.73490337524,14.229514388288797,637968.5620221667,188393.88462118132,133877.9137434833,39534.518997564504,20.42107003269284,38.71787743124723,0.30665516591061676,70730.4545487189,20886.89927167926,4.405102768736075,158.59613247136514,4.26966665001226,635903.7106489914,187784.12828753874,2.1631546844888527,7.866044141382024,21.28212256875266,0.15226695898414339,36829.19955785814,10875.764708845494,1.7664644251504744,38.02037761386913,0.837835815873536,66348.97644411743,19593.03664325739,0.7346200458933159,0.030874162024014468,0.0371353424442911
26,27,CHL-WECC,86707.45313800145,24385.66784619584,35.200451335528385,36265.482459529754,10199.330940243528,13.110080705567372,665572.8589337501,187186.20000946656,138849.59830930832,39050.16307605678,5.8901099229659835,38.206868124938744,0.25541356401292686,69796.93435309333,19629.741114738277,2.30735838498358,160.90349085634867,4.1149764714657415,645155.246206285,181443.9356000647,2.255430419094666,0.5110093063098275,21.793131875061164,0.14765430631033327,37713.51284273655,10606.576069446897,4.4899713698946355,42.51034898376375,0.8778808598675242,74184.38007112479,20863.669573031773,0.64459771542339,0.03105599087008323,0.0366694072651729
27,28,CHL-WECC,87241.21737479314,23367.413421372657,35.41714253521025,34552.99717581895,9254.962209963061,12.491012138050095,663751.8832984334,177784.82617472723,138547.0738168792,37109.60082425291,2.6851809516276894,38.68456669327648,0.2345660464812571,70669.6019453651,18928.734085481956,2.007746842752364,161.6749722805581,3.9192755780375066,648248.5618673093,173632.28759048026,2.1612520673427706,0.028510156465255242,21.315433306723406,0.13602659552166904,36886.84455131127,9880.079306291795,1.9619251077436335,44.47227409150738,0.8683544993841288,77608.11573416356,20787.203340171593,0.584913611669666,0.030894537391362494,0.036782658856362574
28,29,CHL-WECC,78161.68350175713,19938.548129689752,31.7311423278416,34837.72940324974,8886.883103281512,12.593943692462982,680389.9604869292,173563.1496962495,141703.67852729585,36147.70675208214,2.2402200505765747e-10,38.68456669350033,0.22339623474507722,70669.60194577402,18027.365795801412,22.450674784180517,180.30767605221803,4.024159720744497,722957.8582617928,184421.94956517444,1.8441163165150196,0.8701904359505548,21.31543330649956,0.12568684456074136,36886.84455092389,9409.599339226697,2.393768799297078,46.86604289080445,0.8633603155567037,81785.4574557589,20862.949807800436,0.5616510121273913,0.02921984118626912,0.036442416828965415
29,30,CHL-WECC,73904.4185628199,17954.806602032884,30.002828995110704,34431.91596134184,8365.107310841593,12.447240915772953,687950.9843993626,167135.1607491409,142897.5025869375,34716.42254625242,3.7512422530823755e-13,38.684566693500564,0.21275831880483567,70669.60194577446,17168.91980552526,8.711796248949524,185.60905243345294,3.883461419826854,744214.1452836904,180804.08869880723,1.6606400626220117,1.9850624944195494,21.31543330649937,0.11131071443566005,36886.84455092356,8961.523180215823,2.967323093252785,49.83336598405723,0.8638103242707639,86963.7029749327,21127.511706006055,0.5286747820451883,0.028542337274906435,0.035970268369804846
