,year,scenario,Fossil_Gen_GWh_loc0,Discounted_Fossil_Gen_GWh_loc0,Annual_Emissions_loc0,Fossil_Gen_GWh_loc1,Discounted_Fossil_Gen_GWh_loc1,Annual_Emissions_loc1,Total_Annual_Demand_loc0,Discounted_Annual_Demand_loc0,Total_Annual_Demand_loc1,Discounted_Annual_Demand_loc1,RE_PV_MY_new_annual_installed_GWp_loc0,RE_PV_MY_total_capacity_GWp_loc0,RE_PV_MY_annual_generation_GWh_loc0,RE_PV_MY_discounted_annual_gen_GWh_loc0,RE_PV_MY_annual_CAPEX_BUSD_loc0,RE_WIND_MY_new_annual_installed_GWp_loc0,RE_WIND_MY_total_capacity_GWp_loc0,RE_WIND_MY_annual_generation_GWh_loc0,RE_WIND_MY_discounted_annual_gen_GWh_loc0,RE_WIND_MY_annual_CAPEX_BUSD_loc0,PP_CO2_MY_annual_OPEX_BUSD_loc0,RE_PV_MY_new_annual_installed_GWp_loc1,RE_PV_MY_total_capacity_GWp_loc1,RE_PV_MY_annual_generation_GWh_loc1,RE_PV_MY_discounted_annual_gen_GWh_loc1,RE_PV_MY_annual_CAPEX_BUSD_loc1,RE_WIND_MY_new_annual_installed_GWp_loc1,RE_WIND_MY_total_capacity_GWp_loc1,RE_WIND_MY_annual_generation_GWh_loc1,RE_WIND_MY_discounted_annual_gen_GWh_loc1,RE_WIND_MY_annual_CAPEX_BUSD_loc1,PP_CO2_MY_annual_OPEX_BUSD_loc1,EL_Transport_MY_annual_OPEX_BUSD_target_loc1,EL_Transport_MY_annual_CAPEX_BUSD_target_loc1,System_LCOE_USD_per_kWh,System_LCUE_USD_per_kWh
20,21,CHL-WECC,5.115139041049797e-07,1.927842108004753e-07,1.8491381087566278e-10,380536.1623619627,143420.07744707624,1630.544180658292,126955.18212846587,47848.07294044508,1465226.654595008,552228.5161420489,35.26988808177118,253.88080862708983,470114.5123200074,177181.21543938035,0.0,1.1362648611931707,10.944550917767263,45421.12943634281,17118.745984770856,0.0,1.2183962122590055e-11,200.81587348699333,1809.4398929862589,3193532.3798204698,1203608.767168719,0.0,53.49904802955451,417.07255324888155,707864.9681336056,266786.8617837875,0.0,1.1358870133808523,0.22601036970141733,0.0,0.0007532136396636071,0.0022695392686069783
21,22,CHL-WECC,5.298987340284468e-07,1.9020310461241798e-07,1.9155998204748535e-10,326442.69498945493,117174.11285928026,1398.7612460525227,129354.27310910317,46430.7286661931,1466143.8929149285,526261.1558267763,40.56037129402247,291.9629299211122,540631.6891679324,194055.6169097702,0.0,1.2445509024649135,11.987566620232057,49749.76307163282,17857.297597259032,0.0,1.2020836211504798e-11,220.89746083555363,2016.1078523818123,3558286.590645274,1277219.8029164085,0.0,59.651438552952555,474.745553201833,805748.8877438798,289217.4110736058,0.0,0.9280189738455039,0.21359567531583895,0.0,0.0006022685567747622,0.0019934185904940628
22,23,CHL-WECC,5.479394132037175e-07,1.8731301776696992e-07,1.9808174169138345e-10,276679.3678397207,94582.80622833649,1185.5323560816942,131505.84094295953,44955.25477348849,1466636.5607041826,501369.5192076509,46.644426988099994,335.75736940921206,621726.4425429982,212537.1042344678,0.0,1.3631566034698555,13.129981719141739,54490.91549236594,18627.71243645729,0.0,1.1838182722872495e-11,242.9872069187229,2240.562556625079,3954433.137752128,1351822.4583612296,0.0,66.51135398654185,538.7423117277734,914365.6333957717,312575.7739023817,0.0,0.7490958253284177,0.2006004143616374,0.0,0.0004771993154361448,0.0017383363979292642
23,24,CHL-WECC,5.67892259958331e-07,1.848894246265197e-07,2.0529475565171659e-10,228544.15126729148,74407.41776030947,979.2796919991599,133240.73973370474,43379.3616204315,1472611.7389292617,479440.1267748703,53.64109103626124,386.12097482047307,714985.4089242242,232778.7332091062,0.0,1.4930654277805868,14.381268976977523,59683.899738794935,19431.365173003713,0.0,1.1685011636396044e-11,267.28592760999373,2483.711752750558,4383574.129925406,1427165.953536809,0.0,74.16015969499401,609.706420592343,1034807.5235866914,336903.6367024539,0.0,0.5893067486616468,0.1912121960360526,0.0,0.0003733313044916351,0.0014929033099072943
24,25,CHL-WECC,5.845168997710404e-07,1.8123993363689969e-07,2.1130461281793031e-10,186049.5389395386,57687.99174803325,797.1962274204633,134238.4393988627,41623.032384009515,1478278.2363530714,458366.64356231823,61.687254691593424,444.03912104331624,822233.2202624362,254948.13637174747,0.0,1.6353545630481072,15.751803910485044,65371.775383908585,20269.689784755315,0.0,1.1454363805852051e-11,294.0145203699278,2746.290594035054,4847007.060274834,1502901.3503046683,0.0,82.68857805991692,688.3328180467904,1168254.0232304602,362238.08366236725,0.0,0.4568888946444187,0.18174527817011613,0.0,0.00029054641722328417,0.0012772947193704543
25,26,CHL-WECC,6.043201423246837e-07,1.7845741302126504e-07,2.184635444108001e-10,145056.36062868437,42835.54534604059,621.5461974034147,136412.133784569,40282.88119978913,1470532.914227119,434252.44544405537,70.94034289519223,510.6449891994456,945568.20330112,279228.91126409353,0.0,1.791203852906612,17.252950823155807,71601.70557800146,21144.18211547093,0.0,1.1278508502943943e-11,323.4159724047454,3028.7647379989335,5345553.781117785,1578556.847823533,0.0,92.19776453680721,775.3675510340458,1315971.340068081,388609.9841969222,0.0,0.33925751914063607,0.17224106660154975,0.0,0.00022139197382850209,0.0010778935877567702
26,27,CHL-WECC,6.218037596546502e-07,1.7487654636010206e-07,2.247839245264352e-10,108262.06316083521,30447.70221058362,463.88778395533683,138329.53303150635,38903.89953510565,1458966.0517632382,410320.68466535676,81.58139432883792,587.2417375783614,1087403.4337944344,305822.14090777165,0.0,1.9619055800886191,18.89715703660406,78425.34811959123,22056.402543883,0.0,1.1052197729958458e-11,355.7575696340142,3331.6412117829477,5880109.159201537,1653726.2215215336,0.0,102.8005074585394,871.6058453931049,1479309.1493749812,416041.99238884804,0.0,0.24114580150782244,0.16826546399793854,0.0,0.00016861422499553252,0.000911373241616975
27,28,CHL-WECC,6.394338071913938e-07,1.7127127036813682e-07,2.3115723960111083e-10,80734.35008631814,21624.559956196998,345.9353873108618,140594.6591935857,37658.04312541323,1456715.0670267462,390178.6819654323,93.81860347744824,675.327998213399,1250513.9488604208,334948.05908861273,0.0,2.148875181871043,20.698056102193867,85899.28379539427,23007.978767920697,0.0,1.082434428726626e-11,391.3333265244007,3664.805332872349,6468120.074964801,1732475.0891710124,0.0,114.62256581627005,977.8878383599354,1659693.3510650576,444546.07413864677,0.0,0.17126651485308048,0.16104637686891368,0.0,0.00012998226661116961,0.0007767282990076558
28,29,CHL-WECC,6.601245902105795e-07,1.6839358268440411e-07,2.386370197348953e-10,63495.282579678635,16197.242574678081,272.06839651435877,142315.07826926984,36303.67093601062,1459329.5350005236,372265.67887360806,107.89139399687582,776.6271979415026,1438091.0411822505,366847.8742380639,0.0,2.35366298670325,22.670580848734232,94085.48554110069,24000.60870905235,0.0,1.064247442565435e-11,430.4666591823699,4031.2858660762204,7114932.0823141495,1814973.9029035277,0.0,127.80416088513572,1095.0911311534333,1858613.4297711614,474120.4598433062,0.0,0.12828216119144895,0.1528972461200754,0.0,0.00010428961334227754,0.0006882048480954047
29,30,CHL-WECC,6.782794567382208e-07,1.6478549868455938e-07,2.4520005844923684e-10,47665.692449246955,11580.204622687626,204.24081894807972,143002.637061896,34741.96458016318,1457650.6188033652,354130.8552708728,124.07510309061568,893.1212776230303,1653804.6973416307,401785.76701827865,0.0,2.577967069335653,24.831087203619436,103051.83231317105,25036.06354192945,0.0,1.0414443516864144e-11,473.5133249889452,4434.414452488816,7826425.2902013585,1901401.2315295958,0.0,142.50163938690056,1224.1190671958623,2077602.560375775,504745.89872765593,0.0,0.09171522061168574,0.14140261242915564,0.0,8.19524710219488e-05,0.0005994706267734406
