,year,scenario,Fossil_Gen_GWh_loc0,Discounted_Fossil_Gen_GWh_loc0,Annual_Emissions_loc0,Fossil_Gen_GWh_loc1,Discounted_Fossil_Gen_GWh_loc1,Annual_Emissions_loc1,Total_Annual_Demand_loc0,Discounted_Annual_Demand_loc0,Total_Annual_Demand_loc1,Discounted_Annual_Demand_loc1,RE_PV_MY_new_annual_installed_GWp_loc0,RE_PV_MY_total_capacity_GWp_loc0,RE_PV_MY_annual_generation_GWh_loc0,RE_PV_MY_discounted_annual_gen_GWh_loc0,RE_PV_MY_annual_CAPEX_BUSD_loc0,RE_WIND_MY_new_annual_installed_GWp_loc0,RE_WIND_MY_total_capacity_GWp_loc0,RE_WIND_MY_annual_generation_GWh_loc0,RE_WIND_MY_discounted_annual_gen_GWh_loc0,RE_WIND_MY_annual_CAPEX_BUSD_loc0,PP_CO2_MY_annual_OPEX_BUSD_loc0,RE_PV_MY_new_annual_installed_GWp_loc1,RE_PV_MY_total_capacity_GWp_loc1,RE_PV_MY_annual_generation_GWh_loc1,RE_PV_MY_discounted_annual_gen_GWh_loc1,RE_PV_MY_annual_CAPEX_BUSD_loc1,RE_WIND_MY_new_annual_installed_GWp_loc1,RE_WIND_MY_total_capacity_GWp_loc1,RE_WIND_MY_annual_generation_GWh_loc1,RE_WIND_MY_discounted_annual_gen_GWh_loc1,RE_WIND_MY_annual_CAPEX_BUSD_loc1,PP_CO2_MY_annual_OPEX_BUSD_loc1,EL_Transport_MY_annual_OPEX_BUSD_target_loc1,EL_Transport_MY_annual_CAPEX_BUSD_target_loc1,System_LCOE_USD_per_kWh,System_LCUE_USD_per_kWh,HVDC_MEX-USA_annual_forward_GWh,HVDC_USA-MEX_annual_reverse_GWh,HVDC_MEX-USA_annual_total_GWh
20,21,MEX-WECC_highIR_MEX_FF_Costs,141500.09060917058,53329.895976173,57.4445087844237,644005.1150370471,242718.7547738798,242.1787675147969,592898.8277211043,223457.33257581515,1452925.4120857916,547592.307214055,200.81587348555112,1490.8372136652047,2609692.507640163,983565.6596620446,0.0,53.49904802951655,380.477264472358,297903.76197500766,112276.79479668204,0.0,1.3253012449038732,200.81587348598111,1807.9005529918743,3190028.5563376294,1202288.212948193,0.0,9.117661351266793,89.38264401691362,133908.90127377986,50468.85655316656,0.0,6.031803774885692,0.07249671403146099,0.0,0.0028092968300538995,0.009635698339533332,36806.73950321264,341.4615397781358,37148.201042990775
21,22,MEX-WECC_highIR_MEX_FF_Costs,129177.00232680609,46367.09867241363,52.44172928060882,629928.1278239655,226107.89175498253,236.88510239633024,592351.6925559416,212620.11722510034,1462672.6639306669,525015.1846869552,220.8974608337088,1710.153772236456,2993603.490313923,1074531.115610689,0.0,59.65143855290759,438.9592579587268,343693.63562632253,123366.2062837582,0.0,1.1522687691081508,220.8974608343637,2014.6051057823752,3554757.371224861,1275953.0165523088,0.0,9.96021651349016,97.6424164770713,146283.30647376302,52507.27593318969,0.0,5.6190072180030715,0.08316627184359562,0.0,0.002449036161427255,0.009292454199503643,44746.18319462609,0.00012005834861132577,44746.183314684444
22,23,MEX-WECC_highIR_MEX_FF_Costs,115928.17043313933,39630.03011787658,47.06312749440079,608503.6467832623,208016.89320859735,228.82840487649216,610285.8149053374,208626.1271513834,1469465.6426253335,502336.6404976899,242.98720691667876,1950.831134454953,3414906.30136735,1167385.2788953204,0.0,66.5113539864883,503.966099553973,394592.29495145596,134891.3251609294,0.0,0.9848458784593523,242.9872069174361,2239.1550059394076,3950974.1833931333,1350640.0152595127,0.0,10.880631466073051,106.66546733252554,159801.21970491202,54628.02635560907,0.0,5.169427813126841,0.09587864539265709,0.0,0.0021149736628066993,0.008791110619823466,54165.15018084979,0.0001256386218623668,54165.15030648842
23,24,MEX-WECC_highIR_MEX_FF_Costs,105113.24353787971,34221.855955162704,42.672613252585926,580790.329179027,189088.66586495898,218.40678407810213,620656.3219174292,202067.88917768563,1455159.3366177084,473758.12536500714,267.28592760764764,2214.7421649191037,3876879.3676236337,1262200.678133831,0.0,74.16015969492894,576.1906766378265,451142.2526740863,146878.97230320427,0.0,0.8504473423417477,267.2859276085106,2482.489937774069,4380337.059588088,1426112.0563201325,0.0,11.886101164581905,116.52233047649514,174568.31155067595,56834.43314229312,0.0,4.69904243541009,0.11169138375182791,0.0,0.0018171972329882463,0.008376684294010766,66253.22645862568,0.00013093981048467644,66253.22658956549
24,25,MEX-WECC_highIR_MEX_FF_Costs,96999.61661801177,30076.46842296512,39.378740359180966,543351.9691889908,168476.0096343932,204.32805136548942,638163.4166373708,197873.99701558572,1441615.5158625417,446998.7104345428,294.0145203671234,2503.8256478281064,4382916.507369708,1359001.7623834566,0.0,82.68857805983706,656.3890923925183,513935.51784037886,159354.91203679788,0.0,0.7474303167791052,294.01452036803585,2745.3909009391123,4844224.068526309,1502038.4338688694,0.0,12.984485444174252,127.29005777797632,190700.0175212912,59129.95592369151,0.0,4.186797315424309,0.1346051391178361,0.0,0.0015462821443238104,0.007860206693137577,83837.49660230707,0.0001378604937529153,83837.49674016757
25,26,MEX-WECC_highIR_MEX_FF_Costs,82625.49453129769,24399.537547990472,33.54330676388187,517485.361796822,152814.86165162062,194.60088778905666,638029.9336772709,188412.00784103727,1437304.0531596253,424439.8706704646,323.4159724019777,2820.036917574112,4936440.509805061,1457744.564866547,0.0,92.19776453670423,745.3832177404413,583615.5939195312,172343.30249047303,0.0,0.6063529076051113,323.4159724035536,3028.3887858875814,5343571.962897369,1577971.611410043,0.0,14.1843704605436,139.0528214022197,208322.44042217967,61518.194063511524,0.0,3.7976021269044216,0.15204494588004538,0.0,0.001321808767450849,0.007434096459743612,99434.69547790616,0.00014384963131572337,99434.69562175579
26,27,MEX-WECC_highIR_MEX_FF_Costs,72719.10029747224,20451.573212581992,29.521627709564168,487576.331791447,137126.32589737323,183.35356714650524,665636.8860569292,187204.2070446462,1446717.3698472916,406875.8563611441,355.7575696389919,3165.2677490161595,5540762.903935356,1558288.2312878578,0.0,102.80050745839988,844.0621849961467,660878.6482942794,185865.99675921054,0.0,0.5082420459058743,355.75756964211854,3331.64121177939,5878658.8606654,1653318.338495333,0.0,15.495135808568136,151.90257179111777,227573.33610942363,64002.89230249444,0.0,3.4077263248756164,0.1710656793633368,0.0,0.0011293102493670985,0.006879601423946711,117467.61341486732,0.0001475996659838525,117467.61356246698
27,28,MEX-WECC_highIR_MEX_FF_Costs,63078.190088621835,16895.387180814803,25.60772667389763,451975.6932850963,121060.92967538,169.9659114355538,663815.7352915708,177801.92882375387,1453266.1616257082,389254.89845137345,391.33332659268126,3541.220535653436,6198863.708986813,1660355.2241636955,0.0,114.62256581607069,953.3823142263776,746473.4546027278,199941.65999364076,0.0,0.4198672668304285,391.33332660291074,3664.8053329473187,6466524.746714276,1732047.7831808557,0.0,16.927027843332958,165.93975644698497,248603.1903380438,66587.94663014112,0.0,3.0084851633628684,0.19894679234330695,0.0,0.0009553345616957258,0.006396712019087804,143443.70673102658,0.0001535166830158999,143443.70688454327
28,29,MEX-WECC_highIR_MEX_FF_Costs,52749.44404552565,13456.047538848696,21.414586300273978,413605.80551998963,105508.20927358892,155.53687677159738,680455.4130297041,173579.84622344622,1442034.544427875,367853.8368240758,430.46665922955816,3949.214800785796,6913052.734533354,1763475.765814051,0.0,127.8041608848101,1074.3647938065951,841199.5766746808,214584.6595771663,0.0,0.33439623738792923,430.4666592567878,4031.285866225637,7113177.221356742,1814526.2490392223,0.0,18.491239776674934,181.2741051385104,271576.395120872,69277.41039359034,0.0,2.6219845086579534,0.21707139026786426,0.0,0.0007971838682722957,0.005861201908332717,164337.41255941655,0.00016003978185176102,164337.41271945633
29,30,MEX-WECC_highIR_MEX_FF_Costs,47957.737607712,11651.15591952846,19.469306821127613,370585.85511510854,90032.47014770737,139.3591814018918,688017.1643062292,167151.23891404414,1446253.9492610833,351362.0763329123,473.51332509904864,4389.893875726922,7684456.124257106,1866910.3449554157,0.0,142.50163938619824,1208.0902158692907,945903.0899303772,229803.6758049723,0.0,0.28954287575620163,473.5133251604457,4434.414452809777,7824494.943424619,1900932.2608817616,0.0,20.199999175307283,198.02548766682364,296672.5337935963,72075.50065320265,0.0,2.2373969156406766,0.23822884694155835,0.0,0.0006628865736221633,0.005332878745884179,189372.7582968273,0.000166941818246008,189372.7584637691
